date;name;surname;type;yearMatter;manufacturer_name;manufacturer_name1;manufacturer_name2;manufacturer_name3;model_name;model_name1;model_name2;model_name3;insurance_provider;notes;input1;input2;input3;input4;input5;input6;input7;input8;input9;input10
2024-08-18;Jack;Anderson;BIRTHDAY;FALSE;Chevrolet;Ford;Hyundai;Kia;Cruze;Focus;Elantra;Soul;State Farm;Sample note 12;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-19;Kara;Thomas;BIRTHDAY;TRUE;Honda;Toyota;Nissan;Subaru;Civic;Corolla;Altima;Legacy;Allstate;Sample note 13;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-20;Leo;Jackson;BIRTHDAY;FALSE;Ford;Chevrolet;Volkswagen;Mazda;Escape;Malibu;Jetta;CX-5;Farmers;Sample note 14;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-21;Mona;White;BIRTHDAY;TRUE;BMW;Mercedes;Audi;Lexus;328i;C-Class;A4;RX;Nationwide;Sample note 15;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-22;Nate;Harris;ANNIVERSARY;FALSE;Kia;Hyundai;Toyota;Honda;Soul;Sonata;Camry;Accord;Travelers;Sample note 16;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-23;Olivia;Martin;ANNIVERSARY;TRUE;Chevrolet;Ford;Subaru;Nissan;Malibu;Fusion;Outback;Rogue;American Family;Sample note 17;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-24;Paul;Thompson;ANNIVERSARY;FALSE;Audi;BMW;Mercedes;Lexus;A4;328i;E-Class;ES;Esurance;Sample note 18;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-25;Quinn;Garcia;ANNIVERSARY;TRUE;Subaru;Honda;Toyota;Mazda;Forester;Civic;Corolla;Mazda3;Progressive;Sample note 19;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-26;Rita;Martinez;ANNIVERSARY;FALSE;Hyundai;Kia;Chevrolet;Ford;Sonata;Optima;Malibu;Escape;State Farm;Sample note 20;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-27;Steve;Rodriguez;ANNIVERSARY;TRUE;Toyota;Honda;Nissan;Subaru;Camry;Accord;Altima;Legacy;Farmers;Sample note 21;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-28;Tina;Lee;ANNIVERSARY,FALSE;Chevrolet;Ford;Hyundai;Kia;Impala;Explorer;Sonata;Optima;Travelers;Sample note 22;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-29;Ulysses;Lopez;ANNIVERSARY,TRUE;Mazda;Subaru;Toyota;Nissan;Mazda6;Outback;Camry;Altima;Nationwide;Sample note 23;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-30;Vera;Walker;ANNIVERSARY,FALSE;Honda;Chevrolet;Ford;Hyundai;Civic;Malibu;Focus;Elantra;American Family;Sample note 24;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-31;Will;Hall;ANNIVERSARY;TRUE;BMW;Audi;Mercedes;Lexus;328i;A4;E-Class;RX;Esurance;Sample note 25;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-01;Xena;Allen;ANNIVERSARY;FALSE;Toyota;Subaru;Nissan;Honda;Camry;Outback;Altima;Civic;Progressive;Sample note 26;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-02;Yann;Young;ANNIVERSARY;TRUE;Chevrolet;Ford;Hyundai;Kia;Malibu;Explorer;Sonata;Sportage;State Farm;Sample note 27;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-03;Zara;King;ANNIVERSARY;FALSE;Mazda;Toyota;Subaru;Honda;Mazda3;Corolla;Forester;Civic;Farmers;Sample note 28;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-04;Alan;Scott;ANNIVERSARY;TRUE;Hyundai;Kia;Chevrolet;Ford;Sonata;Optima;Malibu;Focus;American Family;Sample note 29;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-05;Bella;Adams;ANNIVERSARY;FALSE;Subaru;Honda;Toyota;Mazda;Legacy;Civic;Camry;Mazda6;Nationwide;Sample note 30;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-06;Cameron;Mitchell;TRUE;Chevrolet;Ford;Hyundai;Kia;Impala;Explorer;Sonata;Sportage;Travelers;Sample note 31;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-07;Diana;Perez;DEATH;FALSE;BMW;Audi;Mercedes;Lexus;323i;A4;E-Class;RX;State Farm;Sample note 32;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-08;Ethan;Roberts;DEATH;TRUE;Toyota;Subaru;Nissan;Honda;Camry;Legacy;Altima;Civic;Progressive;Sample note 33;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-09;Fiona;Turner;DEATH;FALSE;Chevrolet;Hyundai;Ford;Kia;Malibu;Sonata;Explorer;Optima;Farmers;Sample note 34;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-10;George;Phillips;DEATH;TRUE;Mazda;Honda;Toyota;Subaru;Mazda3;Accord;Corolla;Outback;American Family;Sample note 35;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-11;Holly;Campbell;DEATH;FALSE;Hyundai;Chevrolet;Kia;Ford;Sonata;Malibu;Sportage;Escape;Esurance;Sample note 36;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-12;Ian;Mitchell;DEATH;TRUE;BMW;Mercedes;Audi;Lexus;325i;E-Class;A6;RX;Nationwide;Sample note 37;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-13;Jill;Watson;DEATH;FALSE;Toyota;Honda;Subaru;Mazda;Camry;Civic;Outback;Mazda3;State Farm;Sample note 38;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-14;Karl;Wood;DEATH;TRUE;Chevrolet;Kia;Hyundai;Ford;Malibu;Optima;Sonata;Focus;Travelers;Sample note 39;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-15;Lily;Baker;DEATH;FALSE;Subaru;Toyota;Nissan;Honda;Legacy;Corolla;Altima;Accord;Farmers;Sample note 40;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-16;Mike;Lee;DEATH;TRUE;Mazda;Chevrolet;Hyundai;Kia;Mazda6;Malibu;Sonata;Sportage;American Family;Sample note 41;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-17;Nina;Young;DEATH;FALSE;Audi;BMW;Mercedes;Lexus;A4;328i;E-Class;RX;Esurance;Sample note 42;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-18;Oscar;Wright;DEATH;TRUE;Honda;Toyota;Subaru;Mazda;Civic;Corolla;Outback;Mazda3;Progressive;Sample note 43;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-19;Penny;Green;DEATH;FALSE;Hyundai;Chevrolet;Ford;Kia;Sonata;Malibu;Focus;Sportage;State Farm;Sample note 44;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-20;Quincy;Adams;DEATH;TRUE;Mazda;Subaru;Toyota;Nissan;Mazda6;Legacy;Camry;Altima;Nationwide;Sample note 45;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-21;Rachel;Nelson;NAME_DAY;FALSE;Chevrolet;Hyundai;Kia;Ford;Impala;Sonata;Optima;Explorer;Travelers;Sample note 46;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-22;Sam;Carter;NAME_DAY;TRUE;Subaru;Honda;Toyota;Mazda;Forester;Accord;Camry;Mazda3;Farmers;Sample note 47;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-23;Tara;Mitchell;NAME_DAY;FALSE;BMW;Audi;Mercedes;Lexus;328i;A4;E-Class;RX;Esurance;Sample note 48;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-24;Ursula;Davis;NAME_DAY;TRUE;Toyota;Subaru;Nissan;Honda;Camry;Legacy;Altima;Civic;American Family;Sample note 49;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-25;Victor;Johnson;NAME_DAY;FALSE;Chevrolet;Kia;Hyundai;Ford;Impala;Optima;Sonata;Explorer;State Farm;Sample note 50;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-26;Wendy;Brown;NAME_DAY;TRUE;Mazda;Subaru;Toyota;Nissan;Mazda6;Forester;Camry;Altima;Nationwide;Sample note 51;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-27;Xander;Taylor;NAME_DAY;FALSE;Hyundai;Chevrolet;Kia;Ford;Sonata;Malibu;Optima;Focus;Travelers;Sample note 52;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-28;Yvonne;Clark;NAME_DAY;TRUE;Subaru;Honda;Toyota;Mazda;Legacy;Civic;Camry;Mazda3;Progressive;Sample note 53;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-29;Zane;Walker;NAME_DAY;FALSE;Audi;BMW;Mercedes;Lexus;A4;325i;E-Class;RX;State Farm;Sample note 54;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-30;Amy;Mitchell;NAME_DAY;TRUE;Chevrolet;Subaru;Hyundai;Kia;Impala;Forester;Sonata;Sportage;Farmers;Sample note 55;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-01;Brian;Moore;NAME_DAY;FALSE;Mazda;Toyota;Nissan;Honda;Mazda6;Camry;Altima;Civic;Travelers;Sample note 56;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-02;Claire;Fisher;NAME_DAY;TRUE;Hyundai;Chevrolet;Ford;Kia;Sonata;Malibu;Focus;Sportage;Nationwide;Sample note 57;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-03;Daniel;Young;NAME_DAY;FALSE;Subaru;Toyota;Mazda;Honda;Outback;Corolla;Mazda3;Civic;Progressive;Sample note 58;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-04;Eva;Johnson;NAME_DAY;TRUE;Chevrolet;Kia;Hyundai;Ford;Impala;Optima;Sonata;Focus;Farmers;Sample note 59;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-05;Frank;Miller;NAME_DAY;FALSE;Mazda;Subaru;Toyota;Nissan;Mazda6;Legacy;Camry;Altima;Travelers;Sample note 60;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-06;Grace;Harris;VEHICLE_INSURANCE;TRUE;Hyundai;Chevrolet;Kia;Ford;Sonata;Malibu;Sportage;Explorer;American Family;Sample note 61;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-07;Hank;Jackson;VEHICLE_INSURANCE;FALSE;Subaru;Toyota;Honda;Mazda;Legacy;Corolla;Civic;Mazda3;State Farm;Sample note 62;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-08;Ivy;Lee;VEHICLE_INSURANCE;TRUE;Chevrolet;Hyundai;Kia;Ford;Impala;Sonata;Optima;Focus;Progressive;Sample note 63;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-09;Jack;Brown;VEHICLE_INSURANCE;FALSE;Mazda;Subaru;Toyota;Nissan;Mazda6;Outback;Camry;Altima;Farmers;Sample note 64;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-10;Kara;Smith;VEHICLE_INSURANCE;TRUE;Hyundai;Chevrolet;Kia;Ford;Sonata;Malibu;Sportage;Explorer;Nationwide;Sample note 65;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-11;Leo;Williams;VEHICLE_INSURANCE;FALSE;Subaru;Toyota;Mazda;Honda;Forester;Corolla;Mazda3;Civic;State Farm;Sample note 66;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-12;Mona;Davis;VEHICLE_INSURANCE;TRUE;Chevrolet;Kia;Hyundai;Ford;Impala;Optima;Sonata;Focus;American Family;Sample note 67;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-13;Nate;Miller;VEHICLE_INSURANCE;FALSE;Mazda;Subaru;Toyota;Nissan;Mazda6;Outback;Camry;Altima;Travelers;Sample note 68;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-14;Olivia;Wilson;VEHICLE_INSURANCE;TRUE;Hyundai;Chevrolet;Kia;Ford;Sonata;Malibu;Sportage;Explorer;Farmers;Sample note 69;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-15;Paul;Clark;VEHICLE_INSURANCE;FALSE;Subaru;Mazda;Toyota;Honda;Forester;Civic;Camry;Mazda3;State Farm;Sample note 70;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-16;Quinn;Lee;VEHICLE_INSURANCE;TRUE;Chevrolet;Hyundai;Kia;Ford;Impala;Sonata;Optima;Focus;Nationwide;Sample note 71;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-17;Rita;Moore;VEHICLE_INSURANCE;FALSE;Mazda;Subaru;Toyota;Nissan;Mazda6;Legacy;Camry;Altima;Progressive;Sample note 72;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-18;Steve;Thomas;VEHICLE_INSURANCE;TRUE;Hyundai;Chevrolet;Kia;Ford;Sonata;Malibu;Sportage;Explorer;Travelers;Sample note 73;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-19;Tina;Jones;VEHICLE_INSURANCE;FALSE;Subaru;Mazda;Toyota;Honda;Legacy;Corolla;Camry;Mazda3;Farmers;Sample note 74;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-20;Ulysses;Roberts;VEHICLE_INSURANCE;TRUE;Chevrolet;Hyundai;Kia;Ford;Impala;Optima;Sonata;Focus;Esurance;Sample note 75;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-21;Vera;Walker;VEHICLE_INSURANCE_RENEWAL;FALSE;1949;Mazda;Subaru;Toyota;Nissan;Mazda6;Legacy;Camry;Altima;American Family;Sample note 76;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-22;Walter;Green;VEHICLE_INSURANCE_RENEWAL;TRUE;1948;Hyundai;Chevrolet;Kia;Ford;Sonata;Malibu;Sportage;Explorer;Farmers;Sample note 77;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-23;Xander;Young;VEHICLE_INSURANCE_RENEWAL;FALSE;1947;Subaru;Toyota;Mazda;Honda;Legacy;Outback;Mazda3;Civic;State Farm;Sample note 78;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-24;Yvonne;Wilson;VEHICLE_INSURANCE_RENEWAL;TRUE;Chevrolet;Hyundai;Kia;Ford;Impala;Sonata;Optima;Focus;Progressive;Sample note 79;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-25;Zane;Walker;VEHICLE_INSURANCE_RENEWAL;FALSE;Subaru;Mazda;Toyota;Nissan;Forester;Mazda3;Camry;Altima;Travelers;Sample note 80;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-26;Anna;Smith;VEHICLE_INSURANCE_RENEWAL;TRUE;Hyundai;Chevrolet;Kia;Ford;Sonata;Malibu;Sportage;Explorer;Esurance;Sample note 81;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-27;Ben;Brown;VEHICLE_INSURANCE_RENEWAL;FALSE;Mazda;Subaru;Toyota;Honda;Legacy;Corolla;Mazda3;Civic;Farmers;Sample note 82;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-28;Claire;Jones;VEHICLE_INSURANCE_RENEWAL;TRUE;Chevrolet;Hyundai;Kia;Ford;Impala;Sonata;Optima;Focus;Nationwide;Sample note 83;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-29;David;White;VEHICLE_INSURANCE_RENEWAL;FALSE;Subaru;Toyota;Mazda;Honda;Legacy;Camry;Mazda3;Altima;State Farm;Sample note 84;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-10-30;Emily;Green;VEHICLE_INSURANCE_RENEWAL;TRUE;Hyundai;Chevrolet;Kia;Ford;Sonata;Malibu;Sportage;Explorer;Progressive;Sample note 85;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-31;Wendy;Cook;VEHICLE_INSURANCE_RENEWAL;TRUE;Chevrolet;Ford;Nissan;Mazda;Malibu;F-150;Altima;Mazda3;Allstate;Sample note 25;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-01;Xander;Jones;VEHICLE_INSURANCE_RENEWAL;FALSE;Toyota;Honda;Subaru;Volkswagen;Camry;Civic;Outback;Jetta;Farmers;Sample note 26;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-09-02;Yara;Parker;VEHICLE_INSURANCE_RENEWAL;TRUE;BMW;Audi;Mercedes;Lexus;323i;A4;E-Class;RX;Travelers;Sample note 27;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-23;Olivia;Martin;VEHICLE_INSURANCE_RENEWAL;TRUE;BMW;Audi;Mercedes;Lexus;328i;A4;C-Class;RX;Allstate;Sample note 17;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-24;Paul;Thompson;VEHICLE_INSURANCE_RENEWAL;FALSE;Chevrolet;Honda;Ford;Nissan;Silverado;Accord;F-150;Altima;American Family;Sample note 18;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-01;John;Doe;OTHER;TRUE;Toyota;Honda;Ford;Chevrolet;Corolla;Civic;Focus;Cruze;Geico;Sample note 1;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-02;Jane;Smith;OTHER;FALSE;Ford;Nissan;Hyundai;Subaru;F-150;Altima;Elantra;Outback;State Farm;Sample note 2;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-03;Alice;Johnson;OTHER;TRUE;BMW;Audi;Mercedes;Lexus;X5;Q7;GLE;RX;Allstate;Sample note 3;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-04;Bob;Williams;OTHER;FALSE;Chevrolet;Jeep;Mazda;Kia;Silverado;Cherokee;CX-5;Sportage;Progressive;Sample note 4;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-05;Carol;Brown;OTHER;TRUE;Volkswagen;Buick;Chrysler;GMC;Jetta;Enclave;Pacifica;Sierra;Farmers;Sample note 5;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-06;Dave;Jones;OTHER;FALSE;Subaru;Infiniti;Acura;Land Rover;Outback;QX60;MDX;Range Rover;Nationwide;Sample note 6;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-07;Eve;Garcia;OTHER;TRUE;Hyundai;Toyota;Honda;Mazda;Sonata;Camry;Accord;Mazda3;Liberty Mutual;Sample note 7;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-08;Frank;Martinez;OTHER;FALSE;Kia;Nissan;Ford;Chevrolet;Soul;Rogue;Escape;Impala;Travelers;Sample note 8;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-09;Grace;Wilson;OTHER;TRUE;Chevrolet;Toyota;Honda;Subaru;Malibu;Camry;CR-V;Forester;American Family;Sample note 9;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10
2024-08-10;Hank;Moore;OTHER;FALSE;Audi;BMW;Mercedes;Lexus;A4;328i;C-Class;IS;Esurance;Sample note 10;Input 1;Input 2;Input 3;Input 4;Input 5;Input 6;Input 7;Input 8;Input 9;Input 10





